job_title,company,location,post_date,seniority_level,skills,salary
Software Engineer Level II,Unified,"New York, NY",25/12/2023,Mid senior,"Objectoriented programming, Componentbased development, Design patterns, Reuse, Testdriven design, Automation, Standardization, Software architecture, Agile, Unified, Continuous Integration, Web technologies, Internet technologies, Mobile technologies, QA methodologies, Software delivery life cycle, Testing techniques, Hardware configuration, Software configuration, Debugging, Endtoend testing, User acceptance testing, Design patterns, Data modeling, ERDs, Programming languages, Technology frameworks, Extensibility, Reusability, Verbal communication, Written communication, Technical communication, Scalability, Teamwork",295084.9293
Software Developer,Steneral Consulting,"Jersey City, NJ",25/12/2023,Mid senior,"Hybrid, Advent Geneva, Bank, Java, RSL, Geneva",303482.68
Software Engineer,"Click Therapeutics, Inc.",New York City Metropolitan Area,25/12/2023,Mid senior,"Software Engineering, JavaScript, React Native, CSS, HTML, Jest, AWS, Kubernetes, Docker, CircleCI, npm, yarn, Git, Agile, React, ES6, SASS, Styled Components",291256.0665
Software Engineer Python / C++,maven,"New York, NY",25/12/2023,Mid senior,"Python, C++, Go, Java, Programming, Software Development, Designing, Creating, Quantitative Finance, Macroeconomics, Statistical Analysis, Data Visualization, Software Architecture, Version Control, Agile Development",295084.9293
Software Engineer (Core Java),The Cypress Group,"New York, NY",25/12/2023,Mid senior,"Core Java, Multithreading, Concurrency, SpringBoot, Oracle, KDB, Financial Services, Market Data, Enterprise Market Data, Trading Systems, Full LifeCycle Development",295084.9293
SENIOR EMBEDDED SOFTWARE ENGINEER,"Johnson Service Group, Inc.","Webster, TX",25/12/2023,Mid senior,"C/C++, Linux, Version control, Agile, Unit testing, Debugging, Troubleshooting, Software architecture, Hardwareintheloop testing, Requirements gathering, Design, Implementation, Testing, Deployment, Maintenance, Documentation, Aerospace software",199822.38
Embedded Software Engineer,SEGULA Technologies,"Hagerstown, MD",25/12/2023,Associate,"Embedded Systems, Software Development, Software Testing, HardwareintheLoop Test, Controls Strategy, Calibration Tools, SW Verification Tools",197406.92
Full Stack Software Developer / Principal Full Stack Software Developer (Secret Clearance) (AHT),Northrop Grumman,"Hollywood, MD",25/12/2023,Associate,"Software Engineer, Full Stack, Java, C#, C++, SQL, Git, Windows Presentation Foundation, Continuous Integration, Continuous Deployment, Docker, Kubernetes, AWS, Azure DevOps, Ansible, Terraform, Chef, Puppet, YAML, Python, PowerShell, Curl, Microservice, REST, .NET Framework, Agile Software Development, DevOps, Atlassian Tool Suite, Object Oriented Design, Software Design Patterns",302380.475
Software Test Automation Engineer / Principal Software Test Automation Engineer (Secret Clearance) (AHT),Northrop Grumman,"Hollywood, MD",25/12/2023,Associate,"Continuous Integration (CI), Continuous Deployment (CD), Microsoft Windows, Scripting languages (yaml Python PowerShell Batch/CMD), Manual procedures, Automated test scripts, Formal test events, US Citizenship, DoD Secret Clearance, SAP access, TestComplete 4, Revision control systems (BitBucket git CVS), System troubleshooting, DOORS, Process improvements, Interpersonal skills, Analytic skills, Joint Mission Planning System (JMPS) Framework (FW), Air Force mission planning, CompTIA Security+ Certification, Military Mission Planning Systems (JMPS AFMSS PFPS), Cloud platforms and applications, C#, .NET Framework, Java, C++, Top Secret Clearance, SCI/SAP access, Smoke Testing, Acceptance Testing",302380.475
Sr Principal Cyber Software Engineer (EC),Northrop Grumman,"Annapolis Junction, MD",25/12/2023,Associate,"Software Development, Full Stack Development, UI Development, Scaled Agile Methodologies, Linux, Windows, Agile Team Product Owner, Scrummaster, Test Plans, Test Procedures, Test Reports, Agile development, Unit testing, Integration testing, System testing, Software QA, Software deployment, Software maintenance, Software design, Software architecture, Software engineering, Software development tools, Software documentation tools, Software configuration management tools, Version control systems, IDEs, Programming languages, Databases, Data warehouses, Big data, Cloud computing, DevOps, Continuous integration, Continuous delivery, Software security, Information security, Risk management, Compliance, Governance, Program management, Project management, Systems engineering, Hardware engineering, Electrical engineering, Mechanical engineering, Aerospace engineering, Physics, Mathematics, Statistics, Data science, Machine learning, Artificial intelligence, Robotics, Autonomy, Unmanned systems, Sensors, Actuators, Controls, Communication systems, Navigation systems, Guidance systems, Propulsion systems, Power systems, Thermal systems, Structural systems, Manufacturing, Assembly, Integration, Test, Evaluation, Deployment, Operations, Maintenance, Sustainment, Logistics, Supply chain management, Quality control, Safety, Reliability, Maintainability, Availability",216892.4836
Sr Principal Engineer Software,Northrop Grumman,"Linthicum, MD",25/12/2023,Associate,"Software Development, Agile Development, Modelbased Engineering, Continuous Integration, Continuous Delivery, Objectoriented Programming, Python, Java, C++, MATLAB, Big Data, RESTful Web Services, Relational Databases, NoSQL Databases, UI Design, Test Automation, GoCD, Jenkins, Artifactory, Git, UML, SysML, Technical Lead, Software Architect",197406.92
Security Software Developer,"Merit321, Launching Careers","Bethesda, MD",25/12/2023,Associate,"Linux, Cybersecurity, Web application design, Webbased application development, Network vulnerabilities, Hostbased vulnerabilities, Vulnerability scanning, Vulnerability reporting, Common Application Layer content formats (HTML XML CSS), Modern web service technologies (AJAX JSON RESTful architectures), SQL injection, Cross site scripting, SQL, MySQL, Postgres, SQL alchemy ORM for Python, Perl, C, Vulnerability scanners, Yii, jQuery, PHP MVC frameworks",280674.9025
Principal Engineer Software,Northrop Grumman,"Annapolis Junction, MD",25/12/2023,Associate,"Computer Science, Computer Engineering, Electrical Engineering, Python, Java, C++, Matlab, Continuous Integration, Continuous Delivery, Agile, Software Architecture, UML, SysML, RESTful Web Services, Relational Databases, NoSQL Databases, UI Design, UI Development, Test Automation, Instrument Control, GoCD, Jenkins, Artifactory, Git, Server Tools, Modelbased Engineering, DevSecOps",216892.4836
Software Engineer,Brooksource,"Baltimore, MD",25/12/2023,Associate,"Software Engineering, Java, C, C++, VB, Unix, SQL, .Net, Oracle, SQL Server, Cosmos DB, MySQL, Redis, Splunk, Data Structures, Algorithms, Programming Concepts, Automated Unit Testing, Automated UI Testing, Technical Writing, Process Improvement, Test Automation",322556.86
Software Engineer (.Net/C#),T. Rowe Price,"Baltimore, MD",25/12/2023,Associate,"Software Engineering, Agile, AWS, C# .Net, SQL, Relational Database Concepts, Stored Procedures, Cloud Deployment, TestDriven Development, API Design, Abstraction, Data Modeling, ACID, Normalization, Transactions, Debugging, Code Review, Scrum, FINRA, Diversity, Equity, Inclusion",321905.57
Developer/Software engineer,Infinite Computer Solutions,"Maryland, United States",25/12/2023,Mid senior,"Microsoft Azure, Azure Datalakes, SQL Server, Databricks, Data Integration, Data Transformation, Data Cleansing, Data Security, Data Compliance, Cloud Computing, Data Pipeline, Data Lakes, Data Warehousing, Data Analytics",290590.5428
Software Engineer - Level 1,Avid Technology Professionals,"Annapolis Junction, MD",25/12/2023,Mid senior,"Software Development, Software Maintenance, Software Design, Debugging, Coding, Data Queries, Software Documentation, Team Lead, Database Design, Algorithm Development, Software Testing, Software Analysis, Problem Solving, Software Processes, Agile Development, System Design, Data Manipulation",223774.5717
Software Engineer,Infinite Computer Solutions,"Maryland, United States",25/12/2023,Mid senior,"Javascript, Javascript Frameworks, React, Node.js, REST APIs, Cloudbased development, Unit testing, Performance optimization, Security considerations, Code review, Distributed teams, Agile scrum methodologies, HTML5, CSS3, Google Cloud Platform, AWS, Azure, Docker, Nginx, Tomcat",289243.4028
Software Engineer 1,Captivation,"Annapolis Junction, MD",25/12/2023,Mid senior,"Software Engineering, Security Clearance, U.S. Government Security Clearance, Polygraph, Agile, Version Control, Scrum, Software System Design, Unit Testing, Software Integration and Deployment, Big Data",223774.5717
Software Engineer,Infinite Computer Solutions,"Maryland, United States",25/12/2023,Mid senior,"Java, React, HTML, CSS, Spring Framework, Spring Boot, SQL, REST, SOAP, JSON, XML, Caching, Logging, Tracing, Microservices, Docker, Kubernetes, Kubeflow, Machine Learning, AI, GCP, Cloud Technologies",289243.4028
.NET Senior Software Developer (REMOTE),GEICO,"Chevy Chase, MD",25/12/2023,Mid senior,".NET, C#, Visual Studio, SQL Server, ASP.NET, MVC, Web API, REST, Python, C, Java, BDD, SQL, NoSQL, Docker, Kubernetes, Azure, PowerShell, Azure DevOps, DevOps, CS data structures, Algorithms, AWS, GCP, Cloud service, Opensource frameworks",199822.38
Satellite Network Software Engineer,MTi Systems,"Lothian, MD",25/12/2023,Mid senior,"Software development, Project management, Unit testing, Integration, Installation, Maintenance, Problemsolving, Requirements analysis, Software design, Coding, Metric collection, Persistence, Analysis, Reporting, Visualization, Low latency, High throughput, Configuration management, Agile, Scrum, Computer science",315181.3338
Sr Full Stack Software Developer,A Square Group (ASG),"Frederick, MD",25/12/2023,Mid senior,"Python, R, Java, JavaScript, d3, React, OpenSearch, Redux, Pytest, Jest, Leaflet, Pig, Elasticsearch, PHP, Oracle, Angular JS, XML, .NET, Hadoop, AWS (Amazon Web Services) Elastic Beanstalk, Windows Azure Cloud Services, Heroku, Force.com, Google App Engine, Apache Stratos, Puppet, Chef, PaaS (Platform as a Service) services, SaaS (Software as a Service) offerings, DevOps, Agile, Scrum, Kanban, Extreme Programming, SAFe (Scaled Agile Framework), DevSecOps, PostgresSQL, Docker, Docker Compose, Git, Jenkins, Objectoriented programming, Software development, Software installation, Cloud transition, SQL, NoSQL DB, Gradle, Maven, Liquibase, Flyway, Solr/Lucene, Cucumber, Spring MVC/REST/Data/Boot, JPA, JBoss, Tomcat, Agile development",327636.0967
Senior Software Engineer - AWS,GAMA-1 Technologies,"Silver Spring, MD",25/12/2023,Mid senior,"Java, Python, PHP, Go, Ruby, JavaScript, Node.js, ASP.NET, C++, C#, Jira, Confluence, AWS EC2, DevOps, CI/CD, Cloud Computing, Cloud Networking, Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS), Infrastructure as Code, Automation, Ansible, Chef, Puppet, Powershell, Terraform, AWS Lambda, Serverless Systems",199822.38
Senior Software Engineer - (Design Services/Java/Python/PostgreSQL) - (REMOTE),GEICO,"Chevy Chase, MD",25/12/2023,Mid senior,"Data analytics, Infrastructure usage optimization, Realtime decision platform, Java, Go, Python, C++, SQL, MySQL, PostgreSQL, Cassandra, MongoDB, Elasticsearch, Docker, Kubernetes, Agile, Scrum, Kanban, Safe, Continuous delivery, CI/CD, Infrastructure as code, Lambda, Kappa, K8 cluster, Terraform, Ansible, GIT, Jenkin, CircleCI",199822.38
Senior Software Engineer - AWS,GAMA-1 Technologies,"Silver Spring, MD",25/12/2023,Mid senior,"Java, Python, PHP, Go, Ruby, JavaScript, Node.js, ASP.NET, C++, C#, AWS EC2, Jira, Confluence, DevOps, CI/CD, Ansible, Chef, Puppet, Powershell, Terraform, IaaS, PaaS, SaaS, AWS Lambda, Serverless",199822.38
Software Developer,EXPRESS,"Columbus, Ohio Metropolitan Area",25/12/2023,Mid senior,"Software Development Lifecycle, Integrations, Troubleshooting, Business Requirement Gathering, Functional and Technical Requirements, Design, Development, Testing, Implementation, Production Support, Program Design, Flowcharting, Coding, Debugging, Technical Specifications, Oracle Database, SQL, PL/SQL, Windows, Linux, Korn shell, PowerShell, Collaboration and Automation Tools, Java, Visual Basic, VBScript, JavaScript, ETL Tools, ODI, Datastage",309089.4867
"Software Engineer, Front-End (Retain and Expand)",Grammarly,"California, United States",25/12/2023,Mid senior,"Frontend development, Software engineering, JavaScript, HTML, CSS, React, Angular, Product management, Design, Data science, Problem solving, Critical thinking, Communication, Collaboration, Teamwork, Adaptability, Grit, Empathy, Innovation, Execution, Maintainability, User experience, Business growth, Enterprise accounts, Technical decisions, Tradeoffs, High quality, Autonomy, Professional development, Coaching, Feedback, Remote work, Hybrid work, Flexibility, Compensation, Benefits, Health care, Dental, Vision, Mental health, Fertility, Disability, Life insurance, 401(k), RRSP, Paid parental leave, Paid time off, Paid holidays, Unlimited sick days, Home office stipends, Caregiver stipends, Pet care stipends, Wellness stipends, Admission discounts, Learning and development opportunities",254556.51
Software Engineer,Dollar General,"Nashville, TN",25/12/2023,Mid senior,"Software Development, Unit Testing, Production Support, Agile Methodology, Critical Thinking, SelfMotivation, Adaptability, Collaboration, Continuous Learning, Mentoring, Business Concepts, Communication Skills, Process Improvement, TestDriven Development, Coding Standards, Domain Knowledge, Relational Databases, Programming Languages",319370.7617
Software Developer,Emonics LLC,"New Jersey, United States",25/12/2023,Mid senior,"Software Development, Software Maintenance, Software Testing, Software Optimization, Database Design, Database Management, Communication, Collaboration, Problem Solving, Software Engineering",297758.764
"Software Engineer, Front-End (Retain and Expand)",Grammarly,"Minnesota, United States",25/12/2023,Mid senior,"FrontEnd Development, Software Engineering, JavaScript, CSS, HTML, React, Angular, Node.js, Python, Java, SQL, NoSQL, AWS, Azure, GCP, Agile, Scrum, Kanban, Jira, Confluence, Git, GitHub, Data Science, Machine Learning, Artificial Intelligence, Natural Language Processing",304359.8255
Sr. Software Engineer,Keylent Inc,"Atlanta, NY",25/12/2023,Mid senior,"Storage NAS, Windows server, SMB protocol, Service Now, Unix server, Unix shell, Client infrastructure, Storage migration, Storage reduction, Storage optimization, Account administration, Stealthbits, Securitiai, File System Attributes (FSA), Intellectual Property (IP), Personally Identifiable Information (PII), Smartsheet, Tableau, Problem solving, Collaboration, Data analysis, Execution, Adaptability, Willingness to learn, Mentoring, Activity Monitors, Obsolete Data removal, Divestitures, Joint Venture, Operational support, Troubleshooting, Maintenance, System integrations, Identifies Open Shares, Assigns proper ownership of Open Share data, Remediates Orphan shares by defining proper ownership of data, Works with Client teams on securing Open Shares by creating and/or implementing compliant security groups within ServiceNow, Documents remediation",219429.86
"Software Engineer | $140K-$180K | Must Be Local to Lakewood, NJ",IT Pros,"Lakewood, NJ",25/12/2023,Mid senior,"TypeScript, Nest.js, Vue.js, PostgreSQL, Google Cloud Platform (GCP), AWS, Azure, Jest, Mocha, PlayWright, DevOps, Scrum, Kanban, XP, Software Development, Automated Testing Tools",278352.8974
"Lead Software Engineer | $180K-$200K | Must be Local to Lakewood, NJ",IT Pros,"Lakewood, NJ",25/12/2023,Mid senior,"TypeScript, Nest.js, Vue.js, PostgreSQL, Google Cloud Platform (GCP), AWS, Azure, Scrum, Kanban, XP, DevOps",278352.8974
Sr. Software Engineer,"LanceSoft, Inc.","Englishtown, NJ",25/12/2023,Mid senior,"Terraform, Kubernetes, OpenShift, Docker, Containerd, Jenkins, Groovy, Travis CI, GitHub Actions, Python, Ruby, Linux, RHEL, Scripting, Regexes, Configuration management, Code reviews",199822.38
"Sr. Software Engineer, Digital Systems","Barnes & Noble, Inc.","Monroe, NJ",25/12/2023,Mid senior,"Spring Boot, Microservices Architecture, Cloud Solutions, Security Practices, Knowledge of Best Practices, Infrastructure and Cloud Solutions, Java, Networking knowledge and experience, JVM Semantics/Garbage Collection, Web Server (Apache and IIS), Software Development Life Cycle, CostEffective Development, ProblemSolving Skills, Python",199822.38
"Sr. Software Engineer-Java : Holmdel, NJ (onsite)",Diverse Lynx,"Holmdel, NJ",25/12/2023,Mid senior,"Java, Spring Boot, Microservices, Kubernetes, Oracle, Agile, Business Initiatives, Computer Science, Software Development, Java 11, Spring Boot, Sprint Cloud, Test Driven Development, Junit, Mockito, OAuth 2, OIDC, Restful API, Microservice Architecture, Cloud Technology, AWS, Docker, ECS/ EKS, Observability Tools, Bitbucket, Git, Maven, Leadership, Agile Environment, Business Critical Systems, Coding Aesthetics, Fast Pace Environment, Presentation, Collaboration, Formal Documentation",283529.315
Senior Software Engineer,Access Genie,"Lakewood, NJ",25/12/2023,Mid senior,"Python, SQL, PostgreSQL, MySQL, RPC, REST APIs, Apache Kafka, RabbitMQ, Redis, Memcached, Git, AWS, Azure, Identity Providers, Active Directory, LDAP, C++, Rust, Go, Network connectivity, Traffic encryption, Authentication protocols, Proxy, Firewall, VPN, SSH tunnels, Unit testing, Integration testing, Continuous integration, Incremental delivery, Communication skills, Collaboration skills, Problemsolving skills, Analytical thinking, Critical thinking, Systematic debugging, Code design, Code architecture, Code isolation, Knowledge sharing, Mentorship, Cuttingedge technologies, Startup environments, Agile development, Scalable solutions, Design patterns, Code quality, Testing frameworks",278352.8974
"Senior Software Engineer - Insurance, Annuities, LOMA",Guardian Life,"Holmdel, NJ",25/12/2023,Mid senior,"Software Development, Kanban, Unix, Windows, Oracle, Agile, Database, Transcend, Leadership, Estimation, Magic",283529.315
Senior Java Software Engineer,Luxoft,"Holmdel, NJ",25/12/2023,Mid senior,"Java, J2EE, JSP, Struts, Spring Boot, Spring MVC, Rest APIs, IBM WebSphere Application Server, Ext JS, Blaze Rules Engine, Agile methodology, AWS, Launch Pad, Tibco BW 5/6",283529.315
Senior Software Engineer - Data Strategy (NYC-Hybrid),Rad Hires,"Sayreville, NJ",25/12/2023,Mid senior,"Python, Spark, SQL, Data Engineering, Functional Programming, Data Science, Agile, Cloud Computing, OOP, SQL, CI/CD, Azure DevOps, GitLab, Travis, Jenkins, NoSQL, FastAPI, Django, Kubernetes, React, Machine Learning, Agile, Big Data, Business Intelligence, Data Analytics, Entity Resolution, Data Visualization, PowerBI, Tableau",319370.7617
Senior Software Engineer - Data Strategy (NYC-Hybrid),Rad Hires,"South Amboy, NJ",25/12/2023,Mid senior,"Data Engineering, Data Analysis, Python, OOP, SQL, Azure DevOps, Data Science, Machine Learning, AI, Data Cleaning, Frontend Frameworks, React, Spark, JSON, Unit Testing, Integration Testing, CI/CD, Agile, Data Visualization, PowerBI, Tableau, Cloud Computing, AWS, Azure, GCP, Kubernetes, Microservices, Caching, Security, Entity Resolution, Streaming Technologies, ELT, ETL, Data Warehousing, Data Mining, Data Visualization, Business Intelligence",199822.38
Sr. Full Stack Software Engineer,GovPilot,"Manasquan, NJ",25/12/2023,Mid senior,".NET, .Net Core, Javascript, UI Frameworks, Locationbased Services, Mapping, GIS, Geospatial Data, Security Best Practices, Data Protection, APIs, Agile Methodology, Scrum, SQL, SQL Server, Scripting Tools, Azure, Mapbox, Google Maps",279238.0474
Lead Software Engineer,Guardian Life,"Holmdel, NJ",25/12/2023,Mid senior,"Software Development, Scrum, SAFe, Agile, Cloud Computing, AWS, Docker, SNS/SQS, Bitbucket, Git, Microservices, API Architecture, SQL Server, nHibernate, Entity Framework, Node JS, Angular JS, Angular 2, React JS, HTML, CSS, IIS, Windows Server, C#, .NET Core, .NET Technologies, Java, JavaScript, Python, Security, Privacy, Legal, Infrastructure, Cloud Security, Build Tools, Testing, CI/CD, Secure Programming, Software Delivery, Leadership, Collaboration, Communication, Problem Solving, Analytical Skills, Coding Aesthetics, Presentation Skills, Documentation, Time Management, Stress Management, Remote Work, Adaptability",283529.315
Dermatology EHR Software Trainer - West Coast,eDerm Systems,"Boca Raton, FL",25/12/2023,Associate,"Electronic Health Records (EHR), Microsoft Office Suite, Clinical Experience, Medical Assistant, RN, Physician Practice Management System (PMS), Product Development, Software Troubleshooting, Analytical Skills, Communication Skills, ProblemSolving Skills, Project Management, Software Testing, Data Analysis, Remote Work",197406.92
Software Engineer IV,Paychex,"West Palm Beach, FL",25/12/2023,Mid senior,"Agile, SQL, SSIS, SSRS, PowerBI, TSQL, SSAS, ETL, Datawarehouse, PBI Analytical Data models, Microsoft Database, Power Query, SCRUM, Powershell, SSIS Catalogue, SSRS, JIRA",199822.38
Software Engineer (React Native),EverBright,"Palm Beach Gardens, FL",25/12/2023,Mid senior,"Software Engineering, Mobile App Development, React Native, React, Typescript, Javascript, Algorithms, Financial Modeling, Agile Methodologies, Project Management Tools",199822.38
Senior Software Engineer - Network Products,Vultr,"West Palm Beach, FL",25/12/2023,Mid senior,"PHP, Bash, Python, Linux Networking, Virtualize Networking, IPv4/IPv6 networking, FRR configuration, VPC 2.0, Data collection tooling, Automation tooling, Site Reliability Engineers",199822.38
Lead Software Engineer (Full Stack),Energy Jobline,"North Palm Beach, FL",25/12/2023,Mid senior,"Software development, Agile methodologies, Financial modeling, Sales, Operations, Python, JavaScript, C++, Java, Frontend development, Backend development, Microservices, MVC, RESTful APIs, AWS, Azure, Google Cloud, Algorithms, System performance, System scalability, System reliability, Communication, Collaboration, Crossfunctional teams, Solar financing, Energy efficiency, Renewable energy",297925.944
Computer Software Engineer,Qualis Corporation,"Dahlgren, VA",25/12/2023,Associate,"Computer hardware engineering, Software design, Coding, Software requirements management, Computer systems integration, Systems engineering software tools, Python, HTML, C/C++, Unix, Linux, Agile software design, DoD Secret security clearance, DoD Top Secret security clearance",215202.5
Senior Software Engineer,AeroVironment,"Virginia, United States",25/12/2023,Associate,"C/C++, Java, Golang, Python, Algorithms, Data Structures, Relational Databases, REST endpoints, Ubuntu, CentOS, Linux, SVN, Git, IDEs, Debuggers, Scrum Framework, Agile, Unit Testing, Debugging, Mathematical Analysis, PostgreSQL, MySQL",284044.115
Senior Software Engineer,AeroVironment,"Virginia, United States",25/12/2023,Associate,"C++, Java, Golang, Python, REST, Relational databases, PostgreSQL, MySQL, Ubuntu, CentOS, Source code configuration management, SVN, Git, IDEs, Debuggers, User interface / user experience (UI/UX) design, JavaScript frameworks, System design, Problemsolving, Analytical skills, Interpersonal skills, Communication skills, Teamwork, Collaboration",284044.115
Senior Software Engineer - Linux/C++,Torc Robotics,"Blacksburg, VA",25/12/2023,Associate,"C++, Linux, Docker, Git, Safety Critical Software, Embedded Systems, Embedded Linux, Linux Kernel, Flashing Embedded Computes, Network",215202.5
Senior Embedded Software Engineer - AUTOSAR Classic,Torc Robotics,"Blacksburg, VA",25/12/2023,Associate,"AUTOSAR Classic, Embedded C, C++, DaVinci Configurator, EB Tresos, Nvidia Functional Safety Island, Aurix Safety Microcontroller, ROS, CAN, SOME/IP, DDS, Vector, AUTOSAR Base Stack Configuration, Bootloader, MCAL, COM Stack, Security Stack, SecOC, Diagnostic Stack, PreeVision, SiL, HiL, Infineon Aurix MCU",215202.5
Senior Embedded Software Engineer - Health Monitoring/Fault Aggregation,Torc Robotics,"Blacksburg, VA",25/12/2023,Associate,"C/C++, Embedded Linux, ARM MCU's, Git, Infineon Aurix, NVIDIA Orin, ISO26262",215202.5
Software Developer,Dezign Concepts,"Herndon, VA",25/12/2023,Mid senior,"ETL, SQL, MS SQL, Web Services, Database, Database Repository, API Development, Project Management, Budget Management, Financial Management, COTS, Assessment and Accreditation, Requirements Development, Agile, JSON, Momentum suite, .Net programming, AWS, Virtual Network Management, Web Application Development",300228.015
Software Developer,"RecruitTalent, LLC.","Springfield, VA",25/12/2023,Mid senior,"Agile, DevOps, SAFe, GitHub, Jenkins, Unix Bash, GitFlow, Java, Angular, Spring, C2S, HTML, CSS, JavaScript, SQL, MySQL, PostgreSQL, Node.js, Junit, Python, Bash, S3, RDS, EFS",316357.0855
Software Engineer in Test,PeerSource,"Virginia, United States",25/12/2023,Mid senior,"C#, JavaScript, TypeScript, PowerShell, Multitenant data pipeline testing, Parquet files, Data lakes, Azure APIs, Azure AD Provisioning API, Azure Data Lake API, Azure Data Factory API, Microsoft SQL, Entity Framework, API testing, Postman, Azure DevOps, Selenium, Playwright, Jest, ASP.NET, React, Python, Azure CLI, ARM templates, YAML, JSON, Power BI, Spark, Agile development, Testdriven development (TDD), Unit and integration tests, Code reviews, Datadriven test plans, Data analytics, Azure Certified Cloud Architect, Data warehousing, Data modeling",254556.51
Lead Software Engineer — .NET /  Datadog,Intellibus,"Herndon, VA",25/12/2023,Mid senior,"Python, .NET, Java, Serverless Deployment, AWS, C#, ETL, Airflow, AWS Event Bridge, Rulz, Linux, Windows, DataDog, API Coding, DevOps, Russian Language, Microsoft Windows, Containerization, AWS ELB Load Balancing, Unix, RESTful APIs, Kafka, NUnit, Agile, Docker, Prometheus, Dynatrace, Grafana, ServiceNow, OpenTelemetry, Graphite, Signoz, ELK Stack, Apache Skywalking, Sentry.io, NewRelic, Better Stack",300228.015
"Software Engineer, Front-End (Security Foundations)",Grammarly,"Virginia, United States",25/12/2023,Mid senior,"ReactJS, Frontend development, User experience design, Consent management, Identity management, Privacy protection, Fraud detection, Agile development, Team collaboration, Communication, Problemsolving, Technical writing, User interface design, Data analysis, Project management, Business impact measurement",254556.51
Software Engineer (Top Secret),EVONA,"Virginia, United States",25/12/2023,Mid senior,"Python, Java, HTML5, React, Django, AWS, OpenStack, GCP, Azure, IBM, Rackspace, Docker, Linux containers, CI/CD Pipeline, Git, Linux, Agile, Cloud computing, Software architecture, Data processing, Web development",254556.51
Software Engineering Lead - Hybrid (Req. #574),Energy Jobline,"Rochester, NY",25/12/2023,Mid senior,"AWS, Azure, ASP.NET (MVC & Core), .NET Framework 4.8.1 & .NET 6, Cloud computing, SQL Server on RDS, Fargate, Windows on EC2, Lambdas with API Gateway, SNS SQS and S3based message brokering, SAM / CloudFormation, Agile methodologies, Software development lifecycle (SDLC), Computer Science",199822.38
Sr. Cloud Software Engineer/Architect,Energy Jobline,"Rochester, NY",25/12/2023,Mid senior,"Cloud application development, Azure, Microsoft technologies, Computer Science, Microservices architecture, Container technologies, SQL database, Big Data, Windows, Device layer software, RFID, Network communication technologies, Entity Framework, Scrum, Agile software development, Communication, Risk management, Distributed team project development",199822.38
"Founding Software Engineer, Seed Stage",Recruiting from Scratch,"Rochester, NY",25/12/2023,Mid senior,"Comp Sci, Software engineering, Autonomy, Leadership, Openmindedness, Work ethic, Scalability, Performance, Reliability, Code review, Maintenance, Ownership, Equity, Compensation, Health insurance, Vision insurance, Dental insurance",199822.38
"Professional, Sr. Software Engineer - Web",MVP Health Care,"Rochester, NY",25/12/2023,Mid senior,"Scrum, Agile, Cloud Computing, .NET, C#, JavaScript, REST web services, SQL, Unit testing, Git, SVN, TFVC, Azure DevOps, Jira, Data privacy, Security, HTML, CSS",199822.38
Sr. Software Engineer - Customer 360,MVP Health Care,"Rochester, NY",25/12/2023,Mid senior,"JavaScript, C#, .Net, HTML/CSS, React, NPM, TypeScript, SQL, SSIS, Git, Azure, Agile, Scrum, MVC, Web API, Angular, VueJs, Visual Studio/Visual Code, SQL Server Integration Services, Informatica, TDD, REST, Microsoft Dynamics 365, Box, Genesys, ETL",199822.38
Principal Software Engineer,"Precision Optical Technologies, Inc.","Rochester, New York Metropolitan Area",25/12/2023,Mid senior,"Software development, Objectoriented programming, Relational databases, Timeseries databases, Computer science, Python, Compiled languages, Scripting languages",309089.4867
"Senior Software Engineer, Protocol",Recruiting from Scratch,"Rochester, NY",25/12/2023,Mid senior,"blockchain, distributed systems, consensus algorithms, cryptography, key management, simulation testing, IBC protocol, OSS contributions, interoperability",199822.38
"Senior Software Engineer, Technology Consulting",Recruiting from Scratch,"Rochester, NY",25/12/2023,Mid senior,"Microsoft Visual Studio, C#, Visual Basic, ASP.NET, Windows, UNIX/LINUX, Objectoriented design, Project management, Decisionmaking, Delegation, Communication, HTML5, CSS3, JavaScript, JSON, AJAX",199822.38
"Senior Software Engineer, Artificial Intelligence",Recruiting from Scratch,"Rochester, NY",25/12/2023,Mid senior,"AI algorithms, Machine learning, Deep learning frameworks, TensorFlow, PyTorch, Python, Java, C++, AWS, Azure, GCP, Cloud platforms, AI services",199822.38
"Senior Software Engineer, React Native",Recruiting from Scratch,"Rochester, NY",25/12/2023,Mid senior,"PostgreSQL, Express.js, React.js, Node.js, React Native, AWS, Docker, UI/UX, Agile, Scrum, SaaS, Enterprise Cloudbased Solutions, Mobile Application Development, Database Architecture and Design, API Design",199822.38
Controls Software Engineer,Career Start,"Victor, NY",25/12/2023,Mid senior,"Controls software engineering, System architecture, Debugging, Commissioning, HMI programming, Peripheral hardware and software integration, Network communications, Protocols, System runoffs, Equipment installation, Onsite debugging, Standards and procedures, Safety protocols, Time management, Initiative, Creativity, Organizational skills, Prioritization, Multitasking, Following instructions, Independent work, Collaborative work",293477.5715
